name,post,address,lat,lng,monday,tuesday,wednesday,thursday,friday,saturday,sunday,tel,fax
サンドラッグ国分寺本町薬局,185-0012,東京都国分寺市本町2-11-5 矢野ビル 1階,35.701748,139.4812051,,,,,,,,042-300-1717,042-300-1717
サンドラッグ青物横丁薬局,140-0004,東京都品川区南品川2-7-12,35.610781,139.7437846,,,,,,,,03-5781-3365,03-5781-3365
サンドラッグ竹ノ塚薬局,121-0813,東京都足立区竹の塚五丁目7番3号 JOYプラザ 1階,35.7945473,139.7948062,,,,,,,,03-5831-0181,03-5831-0181
サンドラッグ西新井薬局,123-0841,東京都足立区西新井六丁目42番10号,35.7825366,139.7780649,,,,,,,,03-5837-2373,03-5837-2373
サンドラッグ立川羽衣町薬局,190-0021,東京都立川市羽衣町2-67-1,35.6914101,139.4286438,,,,,,,,042-548-2057,042-548-2057
サンドラッグ調布南口薬局,182-0026,東京都調布市小島町2-51-3 ロイヤルプラザ 1階,35.650561,139.5430252,,,,,,,,042-443-4200,042-443-4200
サンドラッグＣＡＲEＲ渋谷駅前薬局,150-0043,東京都渋谷区道玄坂二丁目3番2号 大外ビル 2階,35.6591463,139.6999079,,,,,,,,03-5784-2770,03-5784-2770
サンドラッグ経堂農大通り薬局,156-0052,東京都世田谷区経堂一丁目23番14号,35.6498458,139.6365751,,,,,,,,03-6413-6601,03-6413-6601
サンドラッグフォレストモール八王子大和田薬局,192-0045,東京都八王子市大和田町五丁目7番18号,35.663669,139.3497693,,,,,,,,042-649-9917,042-649-9917
サンドラッグ宮野木薬局,262-0019,千葉県千葉市花見川区朝日ケ丘1-35-10,35.659634,140.0876372,,,,,,,,043-306-8050,043-306-8050
サンドラッグ湘南とうきゅう薬局,252-0816,神奈川県藤沢市遠藤698番地10,35.3715634,139.4423111,,,,,,,,0466-86-5655,0466-86-5655
サンドラッグ六高台薬局,270-2203,千葉県松戸市六高台8-136-1,35.8011098,139.9846872,,,,,,,,047-703-8910,047-703-8910
サンドラッグ浦和薬局,330-0062,埼玉県さいたま市浦和区仲町1-7-1 イトーヨーカドー浦和店 1階,35.8603973,139.6554718,,,,,,,,048-799-3939,048-799-3939
サンドラッグ東久留米前沢薬局,203-0032,東京都東久留米市前沢4-3-21高橋ビル,35.7475833,139.5132625,,,,,,,,042-420-7818,042-420-7818
サンドラッグ若草台薬局,227-0045,神奈川県横浜市青葉区若草台17-1,35.5532285,139.5057394,,,,,,,,045-530-5985,045-530-5985
サンドラッグＣＡＲEＲ池袋サンシャイン通り薬局,170-0013,東京都豊島区東池袋1-21-1,35.7301836,139.7159159,,,,,,,,03-6914-0350,03-6914-0350
サンドラッグ西川口薬局,332-0021,埼玉県川口市西川口2-3-5,35.8122699,139.7020666,,,,,,,,048-452-8320,048-452-8320
サンドラッグ上大岡薬局,233-0002,神奈川県横浜市港南区上大岡西1-18-3,35.4077804,139.5952989,,,,,,,,045-350-2121,045-350-2121
サンドラッグ滝山団地薬局,203-0033,東京都東久留米市滝山四丁目1番40号滝山ヤマザキビル 1階,35.7447278,139.5055419,,,,,,,,042-420-1071,042-420-1071
サンドラッグ柏南口駅前薬局,277-0005,千葉県柏市柏1-2-31,35.8610606,139.9715353,,,,,,,,04-7197-4580,04-7197-4580
サンドラッグ三鷹井口薬局,181-0011,東京都三鷹市井口3-6-12,35.6909965,139.5456198,,,,,,,,0422-30-8330,0422-30-8330
サンドラッグ東習志野薬局,274-0071,千葉県船橋市習志野5-2-1,35.6999733,140.0601524,,,,,,,,047-406-5575,047-406-5575
サンドラッグ立川南口薬局,191-0023,東京都立川市柴崎町3-1-3,35.6977967,139.413188,,,,,,,,042-595-7887,042-595-7887
サンドラッグ貫井北薬局,184-0015,東京都小金井市貫井北町2-10-19,35.7057272,139.4998602,,,,,,,,042-316-6685,042-316-6685
サンドラッグ恋ヶ窪薬局,187-0022,東京都小平市上水本町6-4-1,35.7108124,139.4727916,,,,,,,,042-312-0299,042-312-0299
サンドラッグ相模原千代田薬局,252-0237,神奈川県相模原市中央区千代田7-5-22,35.5596789,139.3791984,,,,,,,,042-704-8502,042-704-8502
サンドラッグ町田根岸薬局,194-0034,東京都町田市根岸町1011番地1,35.5790814,139.4085204,,,,,,,,042-794-4870,042-794-4870
サンドラッグたまプラーザ薬局,225-0002,神奈川県横浜市青葉区美しが丘1-9-16,35.5790394,139.5563303,,,,,,,,045-482-5830,045-482-5830
サンドラッグ小敷谷薬局,362-0064,埼玉県上尾市小敷谷793-1,35.9568568,139.5653258,,,,,,,,048-782-8677,048-782-8677
サンドラッグ東川口薬局,333-0802,埼玉県川口市戸塚東 1丁目4-30,35.8728834,139.7499952,,,,,,,,048-287-3577,048-287-3577
サンドラッグ大宮日進薬局,331-0823,埼玉県さいたま市北区日進町2-1059-1,35.9290033,139.6060912,,,,,,,,048-780-2525,048-780-2525
サンドラッグ野庭薬局,234-0056,神奈川県横浜市港南区野庭町637-2,35.3911825,139.5728642,,,,,,,,045-367-8518,045-367-8518
サンドラッグ城山薬局,252-0102,神奈川県相模原市緑区原宿3-1-7,35.5979916,139.3129035,,,,,,,,042-851-2882,042-851-2882
サンドラッグ東水元薬局,125-0033,東京都葛飾区東水元3丁目7番3号,35.7849413,139.8657277,,,,,,,,03-6231-3913,03-6231-3913
サンドラッグ東大和桜が丘薬局,207-0022,東京都東大和市桜が丘4-291-1,35.7383266,139.4150332,,,,,,,,042-516-8057,042-516-8057
サンドラッグ平井薬局,132-0035,東京都江戸川区平井4丁目8番5号,35.7053543,139.8448235,,,,,,,,03-5875-0647,03-5875-0647
サンドラッグ元住吉薬局,211-0025,神奈川県川崎市中原区木月3-7-7,35.5655115,139.6502353,,,,,,,,044-863-8121,044-863-8121
サンドラッグ辻堂元町薬局,251-0043,神奈川県藤沢市辻堂元町5-13-19,35.3330801,139.4618497,,,,,,,,0466-21-7294,0466-21-7294
サンドラッグふじみ野薬局,356-0050,埼玉県ふじみ野市ふじみ野4-8-51,35.8583683,139.5161834,,,,,,,,049-257-5856,049-257-5856
サンドラッグ東砂薬局,136-0074,東京都江東区東砂1-3-38 1階,35.6842071,139.8406168,,,,,,,,03-6659-7802,03-6659-7802
サンドラッグ川崎銀柳街薬局,210-0007,神奈川県川崎市川崎区駅前本町7-4 井門川崎ビルB1F,35.5306933,139.7000322,,,,,,,,044-742-7712,044-742-7712
サンドラッグさいか屋横須賀薬局,238-0008,神奈川県横須賀市大滝町1-13,35.2822031,139.6696839,,,,,,,,046-845-6790,046-845-6790
サンドラッグ川崎宮前薬局,216-0011,神奈川県川崎市宮前区犬蔵3丁目9-12,35.590525,139.5538579,,,,,,,,044-750-7501,044-750-7501
サンドラッグ川口青木薬局,332-0031,埼玉県川口市青木3-25-1,35.8105755,139.7280795,,,,,,,,048-229-8260,048-229-8260
サンドラッグ羽村神明台薬局,205-0023,東京都羽村市神明台2-2-3,35.7606125,139.3231259,,,,,,,,042-578-8890,042-578-8890
サンドラッグ成増南口薬局,175-0094,東京都板橋区成増2-17-22,35.7775599,139.6309417,,,,,,,,03-6904-2110,03-6904-2110
サンドラッグフォレストモール川崎黒川薬局,215-0034,神奈川県川崎市麻生区南黒川1番7号,35.6128225,139.470166,,,,,,,,044-819-8221,044-819-8223
サンドラッグ蓮沼薬局,337-0015,埼玉県さいたま市見沼区蓮沼594-1,35.929196,139.6634137,,,,,,,,048-795-4045,048-795-4045
サンドラッグ中神二丁目薬局,196-0022,東京都昭島市中神町2-16-6,35.6986782,139.376507,,,,,,,,042-519-1637,042-519-1637
サンドラッグ市原辰巳台薬局,290-0003,千葉県市原市辰巳台東1-1-1,35.5189575,140.1502807,,,,,,,,0436-26-4133,0436-26-4133
サンドラッグ戸塚原宿薬局,245-0003,神奈川県横浜市戸塚区深谷町234-1,35.381059,139.5024593,,,,,,,,045-390-0231,045-390-0231
サンドラッグ岡津薬局,245-0003,神奈川県横浜市泉区岡津町129,35.4254044,139.5268709,,,,,,,,045-827-3535,045-827-3535
サンドラッグ西鶴間薬局,242-0005,神奈川県大和市西鶴間4-12-38,35.4858009,139.445835,,,,,,,,046-204-7661,046-204-7661
サンドラッグ小田銀座薬局,210-0846,神奈川県川崎市川崎区小田4-36-12,35.5103039,139.7020267,,,,,,,,044-589-3028,044-589-3028
サンドラッグ川口前川薬局,333-0842,埼玉県川口市前川3丁目33番4,35.8403114,139.7120502,,,,,,,,048-487-8641,048-487-8641
サンドラッグ稙田薬局,870-1143,大分県大分市田尻441-1,33.188625,131.5929931,,,,,,,,097-586-1910,097-586-1911
サンドラッグ弥生が丘薬局,841-0005,佐賀県鳥栖市弥生が丘1-32,33.4032712,130.5260612,,,,,,,,0942-81-3522,0942-81-3523
サンドラッグ佐賀医大通り薬局,849-0937,佐賀県佐賀市鍋島1丁目7-4,33.2764886,130.2710562,,,,,,,,0952-37-6726,0952-37-6726
サンドラッ諫早薬局,854-0072,長崎県諫早市永昌町11-16,32.852496,130.0396521,,,,,,,,0957-46-6219,0957-46-6219
サンドラッグＣＡＲEＲ浜松薬局,850-0853,長崎県長崎市浜町2-34 1F,32.7450302,129.8773583,,,,,,,,095-801-3803,095-801-3803
サンドラッグ一宮末広薬局,491-0918,愛知県一宮市末広3-11-11,35.2926779,136.7852996,,,,,,,,0586-47-7611,0586-47-7611
サンドラッグ加木屋薬局,477-0032,愛知県東海市加木屋町大堀1-1,34.982162,136.9076128,,,,,,,,0562-31-7055,0562-31-7055
サンドラッグ植田一本松薬局,468-0008,愛知県名古屋市天白一本松二丁目607番地 1階,35.1378966,136.9862233,,,,,,,,052-875-6550,052-875-6550
サンドラッグいりなか薬局,466-0826,愛知県名古屋市昭和区滝川町24,35.1446244,136.9577903,,,,,,,,052-680-8707,052-680-8707
サンドラッグ豊橋曙薬局,441-8151,愛知県豊橋市曙町松並101-210,34.7307213,137.3887698,,,,,,,,0532-21-7650,0532-21-7650
サンドラッグ天白島田薬局,468-0056,愛知県名古屋市天白区島田3丁目1012,35.11952,136.9786743,,,,,,,,052-715-8720,052-715-8720
サンドラッグ半田住吉薬局,475-0862,愛知県半田市住吉町2-114,34.906818,136.9312534,,,,,,,,0569-47-5221,0569-47-5221
サンドラッグバロー城山薬局,488-0072,愛知県尾張旭市新居町諏訪南1305 バロー城山1F,35.2196614,137.041382,,,,,,,,0561-76-1500,0561-76-1500
サンドラッグ東宿薬局,453-0063,愛知県名古屋市中村区東宿町3-1,35.1736003,136.8489008,,,,,,,,052-462-9410,052-462-9410
サンドラッグ江南上奈良薬局,483-8259,愛知県江南市上奈良町栄61-3 スーパー平和堂1階店内,35.3325075,136.8561062,,,,,,,,0587-22-5078,0587-22-5078
サンドラッグ大府薬局,474-0053,愛知県大府市柊山町1-98,35.0163301,136.9577734,,,,,,,,0562-38-7438,0562-38-7438
サンドラッグ中小田井薬局,452-0822,愛知県名古屋市西区中小田井4-321,35.2191123,136.8731705,,,,,,,,052-508-9573,052-508-9573
サンドラッグ西枇杷島薬局,452-0014,愛知県清須市西枇杷島町押花5,35.2008987,136.8679621,,,,,,,,052-908-2585,052-908-2585
サンドラッグ日立会瀬薬局,317-0076,茨城県日立市会瀬町4-14-1,36.5832638,140.6427386,,,,,,,,0294-25-7285,0294-25-7286
サンドラッグ西三国薬局,532-0006,大阪府大阪市淀川区西三国1丁目7番41号,34.7412832,135.4925526,,,,,,,,06-4807-7336,06-4807-7336
サンドラッグ大津美崎薬局,520-0841,滋賀県大津市美崎町2-25,34.9829746,135.8890431,,,,,,,,077-531-2238,077-531-2239
サンドラッグ東香里薬局,572-0801,大阪府寝屋川市寝屋1丁目4-1,34.771852,135.6513524,,,,,,,,072-823-2030,072-823-2030
サンドラッグ武庫之荘薬局,661-0044,兵庫県尼崎市武庫町1丁目36-26,34.7524723,135.382635,,,,,,,,06-4962-5601,06-4962-5602
サンドラッグ山科栗栖野薬局,607-8203,京都府京都市山科区栗栖野打越町33,34.9715002,135.8066908,,,,,,,,075-582-5130,075-582-5130
サンドラッグ高槻センター街薬局,569-0803,大阪府高槻市高槻町16-2 杉本ビル 1階,34.8496321,135.6194122,,,,,,,,072-686-3251,072-686-3251
サンドラッグ阪急富田駅前薬局,569-0814,大阪府高槻市富田町1-13-4,34.8358847,135.5934989,,,,,,,,072-697-7511,072-697-7511
サンドラッグあびこ観音薬局,558-0013,大阪府大阪市住吉区我孫子東2丁目8番27号,34.5995643,135.5113661,,,,,,,,06-6605-9027,06-6605-9027
サンドラッグ伊丹昆陽薬局,664-0886,兵庫県伊丹市昆陽東4-6-7,34.776999,135.4021947,,,,,,,,072-744-0808,072-744-0808
サンドラッグ高石薬局,592-0014,大阪府高石市綾園1丁目1-2,34.5225539,135.4348199,,,,,,,,072-275-6721,072-275-6721
サンドラッグ箕面薬局,562-0013,大阪府箕面市坊島1-1-20,34.8279108,135.4799973,,,,,,,,072-737-7560,072-737-7560
サンドラッグ三宮旭通薬局,651-0095,兵庫県神戸市中央区旭通5-1-6 MAXビル1階,34.6959109,135.1973187,,,,,,,,078-855-6580,078-855-6580
サンドラッグ野洲薬局,520-2331,滋賀県野洲市小篠原1000アルプラザ野洲店1階,35.064745,136.0264723,,,,,,,,077-584-5263,077-584-5263
サンドラッグフォレストモール岩出薬局,649-6215,和歌山県岩出市中迫147,34.2597633,135.3156681,,,,,,,,0736-67-8112,0736-67-8112
サンドラッグフォレストモール京田辺薬局,610-0315,京都府京田辺市同志社山手1-1-1,34.7948627,135.7761915,,,,,,,,0774-34-0590,0774-34-0590
サンドラッグ大阪駅前第4ビル薬局,530-0001,大阪府大阪市北区梅田1丁目11-4 第4ビル地下2階,34.699879,135.4988566,,,,,,,,06-6485-8181,06-6485-8181
サンドラッグ豊中少路薬局,560-0004,大阪府豊中市少路1丁目2-10,34.8043287,135.4715828,,,,,,,,06-6152-5805,06-6152-5805
サンドラッグ海南薬局,642-0002,和歌山県海南市日方1524-4,34.1543202,135.209482,,,,,,,,073-488-7561,073-488-7561
サンドラッグ川西多田薬局,666-0124,兵庫県川西市多田桜木2丁目1−10-27,34.8598057,135.4165469,,,,,,,,072-764-6851,072-764-6851
サンドラッグ垂水小束山薬局,655-0003,兵庫県神戸市垂水区小束山本町1丁目1-1 1階,34.6627634,135.0584672,,,,,,,,078-754-9005,078-754-9005
サンドラッグ加美薬局,547-0002,大阪府大阪市平野区加美東4丁目17番21号 1階,34.6294705,135.5681755,,,,,,,,06-4303-3755,06-4303-3755
サンドラッグ半田薬局,589-0011,大阪府大阪狭山市半田1丁目217-1,34.4944291,135.5566692,,,,,,,,072-349-8299,072-349-8299
サンドラッグ六万寺薬局,579-8061,大阪府東大阪市六万寺町2丁目2番44号,34.6504022,135.6389857,,,,,,,,072-920-7578,072-920-7578
サンドラッグ豊中上野薬局,560-0013,大阪府豊中市上野東1-4-10,34.7923554,135.4725956,,,,,,,,06-6151-5590,06-6151-5590
サンドラッグあべちか薬局,543-0056,大阪府大阪市天王寺区堀越町アベノ地下街７号,34.650437,135.5142943,,,,,,,,06-6776-2880,06-6776-2880
サンドラッグ西宮東町薬局,662-0922,兵庫県西宮市東町2丁目1-36,34.7277254,135.3412027,,,,,,,,0798-31-1550,0798-31-1550
サンドラッグ箕面桜薬局,562-0041,大阪府箕面市桜1-7-6,34.8246912,135.4622426,,,,,,,,072-736-8540,072-736-8540
サンドラッグ横堤薬局,538-0052,大阪府大阪市鶴見区横堤3-6-43,34.7007836,135.573937,,,,,,,,06-4397-7458,06-4397-7458
サンドラッグ天美薬局,580-0032,大阪府松原市天美東7丁目1番1号,34.5871778,135.5389019,,,,,,,,072-349-6455,072-349-6455
サンドラッグ玉造薬局,543-0014,大阪府大阪市天王寺区玉造元町3-26,34.67349,135.5318671,,,,,,,,06-6718-7825,06-6718-7825
サンドラッグCARER三宮オーパ薬局,650-0021,兵庫県神戸市中央区三宮町1-5-24,34.691671,135.1936658,,,,,,,,078-335-7470,078-335-7470
サンドラッグＪＲ西宮北口駅前薬局,662-0844,兵庫県西宮市西福町2-24,34.7393595,135.3472391,,,,,,,,0798-31-0840,0798-31-0840
サンドラッグ石山駅前薬局,520-0832,滋賀県大津市粟津町6-5,34.9791339,135.9013905,,,,,,,,077-526-6290,077-526-6290
サンドラッグ九条薬局,550-0027,大阪府大阪市西区九条2-7-15 1階,34.6758967,135.4727462,,,,,,,,06-6537-7401,06-6537-7401
サンドラッグ南小泉薬局,984-0827,宮城県仙台市若林区南小泉四丁目10-6,38.2390161,140.9066825,,,,,,,,022-294-0525,022-294-0525
サンドラッグあすと長町薬局,982-0007,宮城県仙台市太白区あすと長町二丁目2-10,38.224339,140.8856186,,,,,,,,022-304-3223,022-304-3223
サンドラッグ盛岡南サンサ薬局,020-0836,岩手県盛岡市津志田西2-17-50,39.6618839,141.1482557,,,,,,,,019-637-2552,019-637-2552
サンドラッグ仙台一番町薬局,980-0811,宮城県仙台市青葉区一番町3丁目10-23 ベルモーズビル1階,38.2618458,140.8711666,,,,,,,,022-302-5750,022-302-5750
サンドラッグ盛岡上田薬局,020-0015,岩手県盛岡市本町通3-12-5,39.710868,141.1459387,,,,,,,,0561-76-1500,0561-76-1500
サンドラッグさくらんぼ東根駅前薬局,999-3720,山形県東根市さくらんぼ駅前2-16-25,38.4288179,140.3864436,,,,,,,,0237-48-7728,0237-48-7728
サンドラッグ下関綾羅木薬局,751-0865,山口県下関市綾羅木新町3丁目2-1,34.012955,130.9216028,,,,,,,,083-227-2780,083-227-2780
サンドラッグ広島本通薬局,730-0035,広島県広島市中区本通4番11号,34.3932695,132.4589583,,,,,,,,082-207-3986,082-207-3986
サンドラッグ藤三焼山薬局,737-0935,広島県呉市焼山中央1丁目14-1,34.2942859,132.5563223,,,,,,,,0823-27-5035,0823-27-5035
サンドラッグ川口東本郷薬局,334-0063,埼玉県川口市東本郷1450-1 押田店舗2号室,35.8262833,139.7600858,,,,,,,,048-285-6121,048-285-6127
サンドラッグ中河原薬局,183-0034,東京都府中市住吉町5-17-32,35.6573731,139.455751,,,,,,,,042-330-1220,042-352-3231
サンドラッグ横浜西神奈川薬局,221-0822,神奈川県横浜市神奈川区西神奈川1-13-12 西神奈川アーバンビル 1F,35.4805364,139.6312199,,,,,,,,045-321-5622,045-290-6620
サンドラッグ相模原淵野辺薬局,252-0206,神奈川県相模原市中央区淵野辺1-12-16,35.5719903,139.3920323,,,,,,,,042-776-0478,042-730-7946
大和深見西薬局,242-0018,神奈川県大和市深見西8-2-13,35.4857723,139.4589739,,,,,,,,046-262-8151,046-262-8162
サンドラッグ赤羽台薬局,115-0053,東京都北区赤羽台四丁目11番8号,35.7838855,139.7126088,,,,,,,,03-5924-3710,03-5924-3720
新座薬局,352-0001,埼玉県新座市東北1-7-3,35.8202088,139.5714534,,,,,,,,048-486-6177,048-486-6183
フォレスト南大沢薬局,192-0364,東京都八王子市南大沢二丁目25番地 2階,35.6130172,139.3813754,,,,,,,,042-670-6624,042-670-6634
スズキ薬局,561-0871,大阪府豊中市東寺内町13-5 ライオンズマンション1階,34.7747638,135.496949,,,,,,,,06-6386-2681,06-6386-9468
ホリウチ薬局,210-0007,神奈川県川崎市川崎区駅前本町3番地6,35.5295389,139.6991144,,,,,,,,044-246-7636,044-211-2203
サンドラッグ樽町リリア薬局,222-0001,神奈川県横浜市港北区樽町3-6-44,35.5300984,139.6424399,,,,,,,,045-544-2973,045-533-1137
ナガイシ薬局,252-0804,神奈川県藤沢市湘南台二丁目1番地1 53田中ビル107号,35.3971793,139.464909,,,,,,,,0466-45-5968,0466-45-5968
小田薬局,183-0012,東京都府中市押立町4-9-9,35.6555653,139.5127497,,,,,,,,042-426-8971,042-426-8972
常盤平調剤薬局,270-2261,千葉県松戸市常盤平3-10-1 セブンタウン常盤平店 1階,35.8028992,139.9511989,,,,,,,,047-388-9830,047-388-9831
花野井調剤薬局,277-0812,千葉県柏市花野井681,35.8933345,139.963839,,,,,,,,04-7137-0021,04-7137-0022
サンドラッグ小田原調剤薬局,250-0011,神奈川県小田原市栄町2丁目8番20号,35.2547442,139.1585282,,,,,,,,0465-20-3872,0465-20-7912
門司港調剤薬局,801-0834,福岡県北九州市門司区本町2番10号 1階,33.9439472,130.9640763,,,,,,,,093-322-2882,093-322-2883
東わさだ調剤薬局,870-1143,大分県大分市大字田尻457番5,33.1876657,131.5952905,,,,,,,,097-542-8155,097-542-8156
サンドラッグ姪浜駅前薬局,819-0002,福岡県福岡市西区姪の浜四丁目9番10号,33.5842591,130.3261449,,,,,,,,092-834-7696,092-834-7697
長湫薬局,480-1100,愛知県長久手市原邸820番地,35.1844803,137.0333617,,,,,,,,0561-64-3801,0561-64-3802
大坪薬局,470-0224,愛知県みよし市三好町大坪22,35.0908725,137.0712229,,,,,,,,0561-33-1827,0561-33-1827
弥栄調剤薬局,470-0224,愛知県みよし市三好町弥栄11-4,35.0825857,137.0807728,,,,,,,,0561-33-5602,0561-33-5602
セイコードーさつき野薬局,956-0021,新潟県新潟市秋葉区北上新田795-6,37.8145669,139.1155178,,,,,,,,0250-21-6060,0250-21-6061
セイコードー亀田薬局,950-0136,新潟県新潟市江南区城所1-7-12,37.8601958,139.109047,,,,,,,,025-383-3301,025-383-3302
セイコードー潟東薬局,959-0502,新潟県新潟市西蒲区熊谷字諏訪549,37.7770659,138.9749816,,,,,,,,0256-70-5353,0256-70-5353
サンドラッグ新前橋調剤薬局,371-0844,群馬県前橋市古市町180-1 フォレストモール新前橋Ｋ棟,36.3765747,139.0457315,,,,,,,,027-212-0705,027-212-0710
フォレストモール木津川調剤薬局,619-0215,京都府木津川市梅美台1-1-1,34.7149337,135.8357335,,,,,,,,0774-71-8008,0774-71-8008
